2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,Rarity,Object Property 1,Object Property 2
2901,3257,3666,3731,3508,2716,2426,2410,3359,4080,4252,3490,52,0,0
66,62,120,65,105,69,100,67,95,82,87,95,95,12,202
390356,414183,461585,405887,396369,394914,348276,277605,338891,336170,373653,290113,492,5,6846
460180,303878,410464,337633,305630,207258,174148,190103,243468,221801,193478,188482,372,139,13
34356,33868,37880,35973,38114,24737,24742,22927,34315,30640,31846,28966,241,26,18111
494,612,624,758,523,451,541,574,692,570,616,674,159,6,90
159,99,112,103,131,129,130,169,220,152,146,141,75,18,2
1438,1323,1550,1644,1411,1127,1054,1088,1698,1578,1511,1357,113,23,318
15465,18404,20609,18425,18245,12349,11530,11729,18118,22809,19284,17838,85,0,0
99,159,150,142,148,141,92,119,120,156,125,118,73,23,12
1122,974,1072,1140,1107,1024,1070,1038,1082,941,959,778,178,14,43
40910,46202,53969,44249,41841,26783,23897,20316,37630,45292,39442,32868,222,12,26
41585,37441,40735,40751,46118,46645,50836,46943,36782,44874,23468,23863,331,15,152
3396,3544,3733,3453,3565,7032,4194,4025,5211,3453,2974,2607,193,26,3450
16286,17411,18082,21057,17869,12494,11987,11952,14140,14967,16239,14700,192,7,665
3958,3951,4423,5063,4580,4257,4882,4206,4187,4016,3605,3397,217,10,173
29425,34313,38832,36017,35445,27323,22047,19591,31583,28136,30308,26197,112,0,0
7319,7824,8123,7349,7675,5291,5298,4483,5290,5372,4778,5007,352,19,10150
72226,83153,96731,95005,91691,60249,48110,46256,73882,77956,80658,74047,131,0,0
18787,18515,21663,22465,47046,24934,20149,19135,18740,16314,14338,13424,257,14,224
15210,15028,17649,18443,19891,18477,18603,16388,14710,12095,9499,9503,317,20,489
142843,178741,160575,147877,155430,102556,83107,82781,128005,132767,125161,107707,197,14,27
142,166,134,141,128,128,135,143,188,214,173,189,9,0,0
70686,69078,77519,71811,70824,46530,40665,56566,59124,54096,70152,91428,263,24,8
26150,27135,28639,26145,27403,23894,23266,23537,27144,28125,26996,21100,137,0,0
1075,1012,1077,949,924,733,747,1246,1179,1068,963,661,72,5,17
871,5036,7491,7522,7507,16736,7295,6515,4949,1488,1826,1446,38,0,0
61,66,105,91,103,112,121,102,104,108,104,90,87,5,6846
4230,4178,4192,4114,4214,5189,3596,3850,3413,3539,3846,3222,241,8,5
305075,324322,363716,340958,420464,1041946,596992,237111,292637,289168,315267,254215,499,17,5
449941,406403,450274,412839,425200,355977,357928,341995,381274,389268,366722,339958,433,34,4452
13997,15991,18633,20232,19528,11169,9699,10351,13116,14701,16008,15390,41,0,0
15919,16299,17319,17016,16401,14077,13502,14560,16323,14138,13391,10566,104,0,0
6285,6281,6434,7196,5873,4175,4335,3775,5038,5259,5354,4735,183,3,12
65095,72606,77959,71155,70329,58935,60700,59214,66209,68368,58399,55168,370,3,3
75,84,160,141,96,116,134,96,98,88,101,97,121,29,1077
318751,321874,383098,410430,375764,253081,208576,202928,288922,296412,288409,280252,403,8,14
3522,4128,4268,4199,4250,2440,2163,2345,3033,3869,3549,3240,152,10,45
7793,8016,9266,8453,7541,5628,5174,5046,7259,8230,7046,6525,172,12,27432
3439,4530,7270,4110,3549,2913,3265,3080,3403,3133,3114,3506,77,20,11
14614,18098,16779,13314,13801,10432,7639,8040,13809,14296,17571,9866,207,20,698
59345,63217,75544,65102,58611,44460,43305,39950,54488,67134,55094,53434,300,20,277
15114,14939,19446,19694,20266,19145,18059,18031,19603,16232,15345,14617,70,0,0
555,673,682,718,753,576,481,403,616,708,674,621,80,0,0
355639,339415,386928,352316,368405,324073,296557,255313,304653,316463,373937,300493,431,42,160
1370,1670,2095,1896,1766,1492,1438,1921,2158,2151,2386,2335,63,0,0
4898,5452,6477,5530,5450,4433,4467,3661,5432,5485,5128,4222,185,29,11183
15461,16321,17004,16882,17341,14867,13982,21186,24688,21876,18663,14879,110,0,0
17317,17591,18923,26366,19188,20408,26596,19530,18898,19200,17621,15268,406,10,173
111159,118287,121309,133805,127992,563797,198163,99704,122739,120403,108433,99274,449,6,3
7153,7059,8398,8301,7594,5633,5046,7168,6680,7104,6597,5921,453,5,6846
264577,316358,268041,253296,277325,333266,280776,228455,272353,255598,246531,214307,489,11,20
78,85,143,94,151,125,153,172,177,166,160,151,64,6,842
32398,34346,36739,35363,30974,29509,23589,22303,29805,27300,26661,23877,96,0,0
62109,66751,75594,74793,70341,50491,36780,35430,55950,58507,56379,47013,295,19,399
5061,7331,5201,6398,5205,5687,5342,4508,4947,4947,8487,4972,305,17,3366
605,780,887,811,876,697,882,780,922,1012,761,688,108,15,28
258054,264211,293336,276157,298691,376155,244528,213375,290446,280394,281441,214935,492,36,28
51667,50070,52376,48883,55316,49839,51012,51947,47040,46936,43376,40514,290,13,23
128,102,127,126,115,106,122,141,149,146,138,115,60,17,3366
12838,14660,15485,14138,13823,11210,8307,8500,12208,13850,11992,10890,171,40,16
19882,20729,23157,21744,18955,15712,13990,15894,24099,22838,22268,16461,92,0,0
7524,8076,9465,10131,10047,6765,6769,5771,8016,8706,8569,8133,91,0,0
73647,58199,77723,68325,63152,50050,47344,44460,54534,65523,59230,57503,436,22,245
1110,2062,2407,1366,1275,1113,1245,1414,1284,1098,1213,893,179,30,16420
8960,9811,9436,8369,8309,5493,4647,6007,7508,8043,7578,6107,154,7,17
